,count,mean,std,min,25,50,75,max
SVENF01,8071.0,3.79,2.65,0.07,1.14,3.99,5.9,9.81
SVENF02,8071.0,4.26,2.5,0.33,1.87,4.39,6.22,9.89
SVENF03,8071.0,4.67,2.34,0.63,2.54,4.51,6.46,10.15
SVENF04,8071.0,5.02,2.22,1.01,3.02,4.72,6.63,10.46
SVENF05,8071.0,5.32,2.14,1.42,3.54,5.05,6.78,10.65
SVENF06,8071.0,5.56,2.08,1.7,4.06,5.39,6.91,10.74
SVENF07,8071.0,5.75,2.04,1.81,4.41,5.66,7.05,10.77
SVENF08,8071.0,5.9,2.01,1.88,4.64,5.87,7.18,10.75
SVENF09,8071.0,6.0,1.99,1.94,4.77,5.99,7.3,10.7
SVENF10,8071.0,6.07,1.97,1.99,4.86,6.08,7.39,10.64
SVENF11,8071.0,6.11,1.95,2.03,4.91,6.13,7.48,10.57
SVENF12,8071.0,6.13,1.93,2.08,4.92,6.14,7.54,10.53
SVENF13,8071.0,6.13,1.91,2.13,4.91,6.15,7.59,10.53
SVENF14,8071.0,6.12,1.9,2.19,4.88,6.14,7.62,10.53
SVENF15,8071.0,6.09,1.88,2.26,4.78,6.13,7.63,10.53
SVENF16,8071.0,6.05,1.87,2.34,4.7,6.09,7.61,10.54
SVENF17,8071.0,6.0,1.85,2.43,4.63,6.04,7.58,10.54
SVENF18,8071.0,5.94,1.84,2.49,4.55,5.98,7.54,10.54
SVENF19,8071.0,5.88,1.83,2.22,4.47,5.91,7.5,10.54
SVENF20,8071.0,5.82,1.82,1.97,4.38,5.83,7.46,10.54
SVENF21,8071.0,5.76,1.81,1.72,4.28,5.74,7.42,10.54
SVENF22,8071.0,5.69,1.8,1.49,4.18,5.62,7.33,10.54
SVENF23,8071.0,5.62,1.8,1.28,4.09,5.5,7.23,10.54
SVENF24,8071.0,5.55,1.8,1.1,4.02,5.37,7.11,10.54
SVENF25,8071.0,5.49,1.8,0.94,3.98,5.23,7.0,10.54
SVENF26,8071.0,5.42,1.8,0.8,3.96,5.1,6.87,10.54
SVENF27,8071.0,5.36,1.81,0.68,3.89,4.98,6.77,10.54
SVENF28,8071.0,5.29,1.82,0.58,3.84,4.86,6.65,10.54
SVENF29,8071.0,5.23,1.83,0.49,3.83,4.76,6.54,10.54
SVENF30,8071.0,5.17,1.85,0.41,3.83,4.67,6.42,10.54
Adj_Close,8071.0,5.51,2.49,2.8,3.13,4.96,8.05,10.15
